carbonore,0,75.00,200000000,25.00
siliconore,0,75.00,200000000,25.00
aluminiumore,0,75.00,200000000,25.00
ironore,0,75.00,200000000,25.00
sodiumore,0,150.00,0,50.00
calciumore,0,150.00,0,50.00
chromiumore,0,150.00,0,50.00
copperore,0,150.00,0,50.00
AdjusterSmall,220,892.49,2206,730.22
AdjusterXtraSmall,445,410.47,4453,335.84
AileronMedium2,203,937.37,2037,766.94
AileronShortLarge2,140,4234.04,1405,3464.22
AileronShortMedium2,213,1017.73,2131,832.69
AileronShortSmall2,220,768.30,2206,628.61
AileronSmall2,218,1015.62,2180,830.96
AirbrakeMedium,159,1197.79,1598,980.01
AtmosphericEngineMedium,140,4206.91,1405,3442.02
AtmosphericEngineSmall,213,1087.82,2131,890.04
AtmosphericEngineXtraSmall,220,956.42,2206,782.53
AtmosphericFlap,220,845.89,2206,692.09
CockpitHovercraft,159,1136.22,1598,929.64
ContainerMedium,195,2643.25,1952,2162.66
ContainerSmall,287,619.80,2874,507.11
CoreUnitDynamic32,89,869.56,4466,711.46
CoreUnitStatic32,89,882.78,4466,722.28
HoverEngineMedium,213,965.82,2131,790.22
HoverEngineSmall,220,714.61,2206,584.68
IndustryAssemblyXS,220,796.82,2206,651.94
IndustryAssemblyS,213,913.16,2131,747.13
IndustryAssemblyM,140,3492.17,1405,2857.23
LandingGearXSmall,295,617.55,2951,505.27
RadialAtmoFuelTankXSmall,220,817.94,2206,669.22
RadialSpaceFuelTankXSmall,220,847.56,2206,693.46
RetroEngine,220,1048.77,2206,858.08
RetroEngineMedium,159,1194.92,1598,977.66
SpaceEngineMedium,140,3090.78,1405,2528.82
SpaceEngineSmall,213,1020.80,2131,835.20
SpaceEngineXtraSmall,220,733.52,2206,600.15
StabilizerMedium,140,4093.23,1405,3349.00
StabilizerSmall,159,1195.74,1598,978.33
StabilizerXtraSmall,220,948.64,2206,776.16
WingMedium2,140,4027.28,1405,3295.05
WingMedium2Bis,140,4275.87,1405,3498.44
WingSmall2,213,1063.22,2131,869.91
WingXtraSmall2,220,945.42,2206,773.52
SlidingDoor,213,844.73,2131,691.14
WindowSmall,280,528.60,2809,432.49
SurrogateVRStation,213,902.79,2131,738.65
kergon4,200000000,216.67,0,36.11
kergon3,200000000,216.67,0,36.11
kergon2,200000000,216.67,0,36.11
kergon1,200000000,216.67,0,36.11
xeron,200000000,108.33,0,18.06
nitron,200000000,43.33,0,7.22
MissionPackageContentApheliaSmall1,0,2900.00,200000000,2900.00
